id,category,question,answer,tags
17,Economics,How is PNG economical vs LPG?,"Pay only for actual PNG consumed; no shortage, pilferage, or wastage.","economics,lpg,advantages"
18,CNG Basics,What is CNG?,"Compressed natural gas, mainly methane; used as alternate automotive fuel; environmentally friendly.","cng,basics,auto,environment"
19,CNG Benefits,What are the benefits of CNG?,"Cleaner emissions, cleaner engine, dual-fuel flexibility, less lubrication need, safer cylinders, cheaper than petrol, higher mileage.","cng,benefits,engine,economy,safety"
20,CNG Kits,Tentative list of cars for CNG kits?,"Examples: Maruti (Wagon R, Alto, Swift, Dzire, etc.), Hyundai (i10, i20, Santro, Verna), Honda (Brio, Amaze, City), Tata (Indica, Manza, Indigo) and others like Skoda, Chevrolet, Ford, Volkswagen.","cng,kits,cars,compatibility"
21,CNG Kits,Difference between sequential and regular CNG kits?,Regular kit uses reducer to air-gas mixer; manual switch to petrol when gas ends. Sequential kit has separate ECM and injectors with software control; automatic switchover to petrol if CNG ends.,"cng,kits,sequential,regular"
22,CNG Safety,"What is the pressure in a CNG cylinder, and is refueling safe?","Max up to 200 bar; cylinders meet standards, CCOE approved, with PRD (fusible plug and burst disc).","cng,safety,pressure,prds"
23,CNG Specs,What are the dimensions and weight of a CNG cylinder?,"Typical 50L water capacity weighs ~48 kg, length ~835 mm, diameter ~316 mm; other sizes: 45L, 55L, 60L, 65L.","cng,specs,dimensions,weight"
24,CNG Compliance,After how many years is hydro test required?,Every 3 years for CNG cylinders.,"cng,hydrotest,compliance"
25,CNG Service,Does a sequential CNG kit require servicing?,No regular service after tuning; only hydro test cylinder every 3 years as per government rule.,"cng,service,hydrotest"
26,CNG Safety,Is CNG gas safe?,Yes; it is lighter than air and disperses on leak.,"cng,safety,leak,dispersion"
27,CNG Usage,How to know CNG left in cylinder?,Electronic management system in the vehicle indicates CNG level.,"cng,usage,indicator"
28,CNG Usage,Can a car run on petrol and CNG both?,Yes; automatic changeover switch in sequential kit.,"cng,dual-fuel,changeover"
29,CNG Engine,Does CNG harm the engine?,"No; no carbon leads, better spark plug and engine life; gas form doesnÃ¢â‚¬â„¢t disturb lubrication and reduces wear and tear.","cng,engine,maintenance"
30,CNG Kits,Types of CNG kits and brands?,"Two types: Regular/Conventional and Sequential; brands include BRC, Lovato, Tomasetto, Zavoli, Landi Renzo, and others.","cng,kits,brands,types"
31,CNG Kits,What is a CNG conversion kit?,"A package of parts enabling CNG operation: emulator, vaporiser, cylinder, power booster, pressure gauge, pipe, valve, switch.","cng,kits,components"
32,Policy,Do I have to surrender my LPG connection after getting PNG?,"Yes; as per MoPNG notifications (23-09-2009, 16-12-2013) you must surrender within 60 days; with 09-01-2014 order, one LPG may be retained; MNGL may disconnect PNG for non-compliance.","policy,lpg,surrender,orders"
33,Support,How do I report grievances?,MNGL customer care assists; refer to customer care section for queries on PNG supply and services.,"support,grievance,customer care"
34,KYC,What if my address needs correction?,"Send correct address on society letterhead with secretaryÃ¢â‚¬â„¢s name, signature, BP No., contact; mobile bills not accepted.","kyc,address,correction,documents"
35,KYC,Correction in spelling of name/floor/flat?,"Send self-attested copy of Index 2, electricity bill, society maintenance receipt, property tax receipt, registered agreement; mobile bills or PAN not accepted; email customercare@mngl.in or post to Shivaji Nagar, Pune address.","kyc,name,documents,email,postal"
